,bluewins,bluetotalgold,redtotalgold
0,0,17210,16567
1,0,14712,17620
2,0,16113,17285
3,0,15157,16478
4,0,16400,17404
5,1,15899,15201
6,1,16874,14463
7,0,15305,17920
8,0,16401,18380
9,1,15057,16605
10,0,15474,15143
11,0,16695,18200
12,1,17865,14591
13,0,14979,18393
14,1,15722,16192
15,0,15015,17011
16,1,19733,14505
17,0,14852,16827
18,1,16282,15400
19,0,14994,18149
20,1,18606,16080
21,0,15878,18713
22,0,15773,17027
23,0,15906,15500
24,1,16515,17535
25,0,15415,17887
26,1,17178,15918
27,0,17226,15369
28,0,17474,16154
29,0,14905,18187
30,1,18132,15249
31,1,16053,14350
32,0,16438,15830
33,0,15634,15563
34,1,16085,15810
35,0,14981,15790
36,0,15421,18192
37,0,15665,17395
38,0,17528,18432
39,0,15032,16715
40,0,15483,18508
41,1,19226,16222
42,1,16945,15371
43,1,15000,16036
44,0,15888,15872
45,0,13428,19311
46,1,19250,14154
47,1,18355,15599
48,1,13978,14955
49,0,15851,16659
50,0,16474,18033
51,1,16590,16046
52,1,15737,14356
53,1,16990,14959
54,0,15297,15166
55,0,15651,18350
56,0,15587,17259
57,1,17777,16576
58,1,16426,16534
60,0,13791,16053
61,0,16505,16554
62,1,17277,15590
63,1,18269,14336
64,0,14166,18227
65,0,15456,20376
66,0,15180,16885
67,0,16179,16074
68,1,16026,16580
69,0,14850,15887
70,0,17347,18491
71,1,15887,14714
72,0,17399,14205
73,0,13828,16450
74,1,16645,15494
75,1,16248,14785
76,0,15310,16348
77,1,16784,15360
78,1,19032,18505
79,0,17518,15711
80,0,18976,16120
81,0,16143,17107
82,0,15868,16046
83,1,17977,17272
84,1,18138,17230
85,1,18025,14467
86,0,14625,15924
87,1,15752,17515
88,1,18480,15933
89,0,14995,18680
90,0,15655,19344
91,0,15562,16326
92,1,17139,14102
93,1,19229,15684
94,0,16972,18003
95,0,16249,18045
96,1,16415,14789
97,1,18012,17180
98,1,19294,16544
99,0,15383,16907
100,0,15777,17147
101,0,14805,16311
102,0,15244,16345
103,0,17574,14800
104,0,16655,18461
105,0,16855,15590
107,0,15143,16070
108,1,17309,15884
109,1,16416,15239
110,1,15222,16808
111,0,15526,18422
112,1,17597,16692
113,0,16834,20376
114,1,19058,15645
115,0,16806,17062
116,1,16643,18463
117,1,16189,15564
118,0,14095,17723
119,0,16804,16035
120,0,17305,17881
121,0,14539,18439
122,1,17530,17537
123,1,18431,16748
124,0,14032,18814
125,1,17869,17233
127,1,16108,15132
128,0,16302,16513
129,1,16750,15529
130,1,16506,14469
131,1,16389,15572
132,1,15760,15897
133,1,15176,16715
134,0,15196,16903
135,1,16250,16806
136,1,16541,16687
137,1,18657,14574
138,1,16873,15484
139,0,14383,15273
140,0,14420,16939
141,0,14720,19160
142,1,17406,16266
143,0,15210,16866
144,1,17272,15101
145,1,19358,15517
146,1,16855,17740
147,0,15209,17961
148,1,19542,17461
149,0,15267,14814
150,0,15243,14413
151,0,16214,16120
152,0,15976,16698
153,0,16557,18048
154,0,16142,19251
155,0,17984,17447
156,1,20038,15959
157,1,19571,15565
158,0,14557,18139
159,1,16029,16384
160,1,18053,14589
161,1,18098,15881
162,1,18343,15294
163,1,15596,15901
164,0,15812,14487
165,1,15947,16000
166,0,14997,17862
167,0,16463,16556
168,0,16072,16492
169,1,19140,14132
170,0,14547,16621
171,1,15644,15647
172,0,15734,16571
173,1,16794,16284
174,0,15930,19479
175,1,16936,16664
176,1,17941,15754
177,0,13698,18605
178,1,15943,15880
179,1,15891,18023
180,0,16216,17192
181,0,14754,16096
182,1,16909,14605
183,1,18858,14639
184,0,15952,18001
185,0,13428,17465
186,0,16812,16878
187,1,17906,17396
188,0,16408,13817
189,0,15056,18828
190,0,17831,16866
191,0,13738,17206
192,1,20236,14164
193,0,14091,16307
194,0,16036,18344
195,1,17052,15135
196,0,16354,18030
197,1,18297,15588
198,0,15748,17052
199,1,17886,16062
200,0,17069,16840
201,1,16631,15124
202,0,14766,16553
203,0,17113,16298
