,gameid,bluewins,bluegolddiff,blueexperiencediff,bluegoldpermin,bluetotalexperience,bteamtotminionsdiff,blaneminions_diff,bluetotalgold
0,4519157822,0,643,-8,1721.0,17039,-21,-2,17210
1,4523371949,0,-2908,-1173,1471.2,16265,-79,-66,14712
2,4521474530,0,-1172,-1033,1611.3,16221,3,-17,16113
3,4524384067,0,-1321,-7,1515.7,17954,-24,-34,15157
4,4436033771,0,-1004,230,1640.0,18543,-27,-15,16400
5,4475365709,1,698,101,1589.9,18161,-11,4,15899
6,4493010632,1,2411,1563,1687.4,16967,81,61,16874
7,4496759358,0,-2615,-800,1530.5,16138,44,52,15305
8,4443048030,0,-1979,-771,1640.1,18527,-47,-51,16401
9,4509433346,1,-1548,-1574,1505.7,16805,-29,-27,15057
10,4452162573,0,331,-1585,1547.4,16611,-10,15,15474
11,4453038156,0,-1505,-635,1669.5,18507,-41,-31,16695
12,4515594785,1,3274,1659,1786.5,19102,3,-2,17865
13,4524924257,0,-3414,-1141,1497.9,17213,-16,-19,14979
14,4516505202,1,-470,-187,1572.2,17896,-15,-18,15722
15,4482120064,0,-1996,-1804,1501.5,16974,-26,-28,15015
16,4523758462,1,5228,3378,1973.3,20862,43,53,19733
17,4503636905,0,-1975,-1345,1485.2,16888,-12,-15,14852
18,4486384947,1,882,512,1628.2,17378,-22,-15,16282
19,4457103291,0,-3155,-2773,1499.4,17924,-39,-31,14994
20,4472164226,1,2526,1625,1860.6,19254,-12,-11,18606
21,4445294621,0,-2835,-2821,1587.8,16945,-10,-6,15878
22,4480384157,0,-1254,-567,1577.3,17562,1,7,15773
23,4520898233,0,406,1283,1590.6,19219,25,18,15906
24,4522124566,1,-1020,493,1651.5,17223,20,11,16515
25,4523978853,0,-2472,-1067,1541.5,16047,-11,-17,15415
26,4507834811,1,1260,-55,1717.8,17854,-14,-24,17178
27,4501319968,0,1857,2015,1722.6,18982,36,26,17226
28,4519148589,0,1320,-413,1747.4,17436,9,-6,17474
29,4484877784,0,-3282,-1647,1490.5,17974,10,8,14905
30,4466931235,1,2883,2111,1813.2,18076,7,1,18132
31,4524189570,1,1703,1696,1605.3,17406,19,12,16053
32,4503380070,0,608,-85,1643.8,16989,-17,-3,16438
33,4497858921,0,71,-359,1563.4,16355,-16,-21,15634
34,4509242024,1,275,872,1608.5,19076,-27,-19,16085
35,4524296550,0,-809,638,1498.1,17082,15,17,14981
36,4516034199,0,-2771,-1125,1542.1,19276,5,-17,15421
37,4504386463,0,-1730,-1236,1566.5,17716,-30,-11,15665
38,4523799496,0,-904,1377,1752.8,19609,35,7,17528
39,4379931850,0,-1683,-1363,1503.2,16832,-19,-23,15032
40,4523858150,0,-3025,-1833,1548.3,17362,16,9,15483
41,4459778854,1,3004,2300,1922.6,20118,51,46,19226
42,4499523222,1,1574,761,1694.5,17806,-6,10,16945
43,4477029310,1,-1036,-1423,1500.0,16493,-16,12,15000
44,4525037711,0,16,433,1588.8,19090,20,9,15888
45,4459414345,0,-6386,-4210,1292.5,15498,-86,-60,12925
46,4505664040,1,5096,3310,1925.0,19703,50,55,19250
47,4439587692,1,2756,1683,1835.5,18790,17,18,18355
48,4508000311,1,-977,-1025,1397.8,16429,-48,-38,13978
49,4513365614,0,-808,-1655,1585.1,17366,-23,-35,15851
50,4473252742,0,-1559,-407,1647.4,17408,-2,3,16474
51,4438138890,1,544,75,1659.0,18284,36,31,16590
52,4467008289,1,1381,1017,1573.7,18634,2,5,15737
53,4492625917,1,2031,1449,1699.0,19634,22,38,16990
54,4502901044,0,131,370,1529.7,19210,13,19,15297
55,4467732013,0,-2699,-2749,1565.1,17696,22,23,15651
56,4514402510,0,-1672,-2698,1558.7,16746,-48,-37,15587
57,4521277262,1,1201,316,1777.7,18131,-21,-21,17777
58,4521752962,1,-108,59,1642.6,18407,-10,-25,16426
59,4514070165,0,4633,2269,2027.8,19575,65,54,20278
60,4525056568,0,-2262,-1391,1379.1,16437,-15,-27,13791
61,4521255103,0,-49,500,1650.5,17667,24,1,16505
62,4510728488,1,1687,1089,1727.7,19610,-5,-3,17277
63,4516919746,1,3933,2922,1826.9,19659,28,-4,18269
64,4499868617,0,-4061,-4397,1416.6,15959,-50,-21,14166
65,4514234813,0,-4920,-3280,1545.6,16280,-74,-52,15456
66,4513591449,0,-1705,-1839,1518.0,17773,-27,-17,15180
67,4471416203,0,105,-1547,1617.9,16814,16,12,16179
68,4521227315,1,-554,521,1602.6,18490,10,-1,16026
69,4424144387,0,-1037,-1577,1485.0,17145,-36,-43,14850
70,4517806218,0,-1144,480,1734.7,18573,20,3,17347
71,4479974478,1,1173,953,1588.7,17591,-19,14,15887
72,4423018162,0,3194,2534,1739.9,19449,15,24,17399
73,4518401885,0,-2622,-1136,1382.8,16629,16,12,13828
74,4525208730,1,1151,470,1664.5,19110,39,37,16645
75,4512774492,1,1463,1490,1624.8,17200,35,31,16248
76,4522772001,0,-1038,-1307,1531.0,18337,-23,-5,15310
77,4464439713,1,1424,1060,1678.4,17242,13,32,16784
78,4479823004,1,527,721,1903.2,18951,-1,16,19032
79,4507330276,0,1807,932,1751.8,18342,26,44,17518
80,4447392049,0,2856,1262,1897.6,20326,17,46,18976
81,4521089901,0,-964,-2454,1614.3,16617,-37,-37,16143
82,4427944005,0,-178,524,1586.8,17111,25,21,15868
83,4509784380,1,705,192,1797.7,18162,27,28,17977
84,4524411421,1,908,306,1813.8,18159,11,-2,18138
85,4519898107,1,3558,3243,1802.5,19864,57,41,18025
86,4517633575,0,-1299,-49,1462.5,17769,30,23,14625
87,4521948875,1,-1763,-1864,1575.2,17113,-37,-47,15752
88,4509102299,1,2547,2189,1848.0,19565,8,-15,18480
89,4525041896,0,-3685,-3119,1499.5,16206,-4,10,14995
90,4515706467,0,-3689,-4682,1565.5,15827,-58,-22,15655
91,4476006621,0,-764,803,1556.2,18590,26,3,15562
92,4499940691,1,3037,2694,1713.9,19137,18,10,17139
93,4426644547,1,3545,2162,1922.9,18820,136,112,19229
94,4525072812,0,-1031,-394,1697.2,19060,-56,-46,16972
95,4524217548,0,-1796,-749,1624.9,18383,12,-1,16249
96,4499622849,1,1626,747,1641.5,17645,28,44,16415
97,4499844894,1,832,1330,1801.2,19837,86,64,18012
98,4460534353,1,2750,2647,1929.4,20668,43,39,19294
99,4495269641,0,-1524,-827,1538.3,17243,32,41,15383
100,4524995677,0,-1370,-875,1577.7,17401,33,14,15777
101,4464596479,0,-1506,-412,1480.5,17323,-25,-22,14805
102,4452452649,0,-1101,-718,1524.4,16787,-5,-13,15244
103,4420481816,0,2774,2207,1757.4,19195,24,27,17574
104,4412895789,0,-1806,-588,1665.5,17831,-8,7,16655
105,4525114135,0,1265,1248,1685.5,18370,33,41,16855
106,4496624699,1,-4443,-4140,1578.6,16995,-49,-27,15786
107,4522663961,0,-927,967,1514.3,19080,26,17,15143
